Exporter,Importer,Resource,Value (1000USD),Weight (1000kg)
Afghanistan,Azerbaijan,Agricultural products,5.134,0.6
Afghanistan,Argentina,Pearls and gemstones,1.728,0.115
Afghanistan,Australia,Agricultural products,643.21797823,251.67498967
Afghanistan,Austria,Agricultural products,169.77986653,71.64170663
Afghanistan,Austria,Pearls and gemstones,55.829,0.738
Afghanistan,Bahrain,Agricultural products,383.419,246.351
Afghanistan,Armenia,Agricultural products,4.888,3.38
Afghanistan,Belgium,Agricultural products,176.835,75.997
Afghanistan,Botswana,Agricultural products,2.688,0.325
Afghanistan,Botswana,Fossil fuels,18.231,41.0
Afghanistan,Bulgaria,Agricultural products,31.338,20.0
Afghanistan,Myanmar,Agricultural products,222.332,155.675
Afghanistan,Belarus,Agricultural products,250.921941,137.876854
Afghanistan,Canada,Agricultural products,2121.85400503,642.17515925
Afghanistan,Canada,Fossil fuels,6.005,0.962
Afghanistan,Canada,Metals and minerals,1.085,0.255
Afghanistan,China,Agricultural products,25742.90057,6471.98528
Afghanistan,China,Metals and minerals,344.167,4306.866
Afghanistan,Cyprus,Fossil fuels,782.319,1300.61
Afghanistan,Denmark,Agricultural products,11.51,2.394
Afghanistan,El Salvador,Agricultural products,6.448,1.463
Afghanistan,Fiji,Agricultural products,38.0,18.374
Afghanistan,Finland,Agricultural products,2334.74312282,46.51246907
Afghanistan,France,Agricultural products,3111.959296,965.84830173
Afghanistan,France,Forestry products,88.103,69.397
Afghanistan,Germany,Agricultural products,10124.8518485,2596.93630159
Afghanistan,Germany,Metals and minerals,7.069,23.94
Afghanistan,Germany,Pearls and gemstones,542.168,0.126
Afghanistan,Ghana,Metals and minerals,5.374,8.5
Afghanistan,China,Agricultural products,196.2764053,101.23803714
Afghanistan,Indonesia,Agricultural products,0.36,0.063
Afghanistan,Indonesia,Metals and minerals,2.272,0.069
Afghanistan,Iran,Agricultural products,25077.748,20907.954
Afghanistan,Iran,Metals and minerals,392.373,3895.44
Afghanistan,Iraq,Agricultural products,21371.686,20060.398
Afghanistan,Iraq,Metals and minerals,52.566,713.58
Afghanistan,Italy,Agricultural products,1539.121,74.717
Afghanistan,Italy,Metals and minerals,207.325,146.215
Afghanistan,Cote d'Ivoire,Agricultural products,0.071,0.03
Afghanistan,Japan,Agricultural products,879.582,563.977
Afghanistan,Japan,Metals and minerals,2.439,80.86
Afghanistan,Japan,Pearls and gemstones,55.728,0.139
Afghanistan,Kazakhstan,Agricultural products,6701.7433208,11330.38880084
Afghanistan,Jordan,Agricultural products,3747.446,3728.1
Afghanistan,Kenya,Agricultural products,8.472,11.6
Afghanistan,Republic of Korea,Pearls and gemstones,0.332,0.001
Afghanistan,Kuwait,Agricultural products,327.7096758,69.36543914
Afghanistan,Kyrgyzstan,Pearls and gemstones,2.169,0.551
Afghanistan,Lebanon,Agricultural products,1956.728,388.662
Afghanistan,Latvia,Agricultural products,1020.142,640.0
Afghanistan,Lithuania,Agricultural products,17.286,11.0
Afghanistan,Luxembourg,Agricultural products,0.331,0.06
Afghanistan,Madagascar,Agricultural products,4.338,3.1
Afghanistan,Malaysia,Agricultural products,1874.583,2099.0
Afghanistan,Mexico,Forestry products,0.008,0.045
Afghanistan,Mexico,Metals and minerals,1.62,0.016
Afghanistan,Republic of Moldova,Agricultural products,45.151,24.0
Afghanistan,Morocco,Agricultural products,84.02,25.528
Afghanistan,Mozambique,Agricultural products,68.403,8.731
Afghanistan,Mozambique,Forestry products,15.023,34.0
Afghanistan,Mozambique,Metals and minerals,10.434,9.405
Afghanistan,Oman,Agricultural products,2.78,2.02
Afghanistan,Netherlands,Agricultural products,864.03138671,402.1965955
Afghanistan,Netherlands,Metals and minerals,1.088,33.5
Afghanistan,New Zealand,Agricultural products,251.307,55.233
Afghanistan,Nicaragua,Agricultural products,5.155,0.987
Afghanistan,Norway,Agricultural products,4.955,1.089
Afghanistan,Norway,Pearls and gemstones,0.609,0.001
Afghanistan,Pakistan,Agricultural products,386816.80211335,945312.11597023
Afghanistan,Pakistan,Forestry products,222.446,250.686
Afghanistan,Pakistan,Fossil fuels,94409.125,1118923.0
Afghanistan,Pakistan,Metals and minerals,103071.216,1270048.245
Afghanistan,Pakistan,Pearls and gemstones,55.422,0.107
Afghanistan,Paraguay,Fossil fuels,2917.075,4036.07
Afghanistan,Poland,Agricultural products,736.92055306,521.5817032
Afghanistan,Poland,Metals and minerals,52.711,21.977
Afghanistan,Portugal,Agricultural products,25.3347176,16.3381671
Afghanistan,Qatar,Agricultural products,21.53,0.02
Afghanistan,Romania,Agricultural products,597.619298,128.458854
Afghanistan,Russian Federation,Agricultural products,3959.10423238,3608.86280455
Afghanistan,Russian Federation,Metals and minerals,7.543,261.12
Afghanistan,Russian Federation,Pearls and gemstones,0.703,0.104
Afghanistan,Saudi Arabia,Agricultural products,10130.97731032,1319.71257062
Afghanistan,Senegal,Agricultural products,26.178,42.3
Afghanistan,Seychelles,Agricultural products,4.492,1.143
Afghanistan,India,Agricultural products,520828.4829324,112442.1923231
Afghanistan,India,Fossil fuels,1.083,0.105
Afghanistan,India,Metals and minerals,94.6167392,1964.875358
Afghanistan,India,Pearls and gemstones,133.404,1.752
Afghanistan,Singapore,Agricultural products,0.152,0.052
Afghanistan,Slovakia,Agricultural products,49.227,27.395
Afghanistan,Vietnam,Agricultural products,925.794,79.566
Afghanistan,Slovenia,Agricultural products,19.184,2.942
Afghanistan,South Africa,Agricultural products,122.01,59.744
Afghanistan,South Africa,Pearls and gemstones,5.87,0.007
Afghanistan,Spain,Agricultural products,75.0215881,12.57583852
Afghanistan,Swaziland,Agricultural products,0.209,0.024
Afghanistan,Sweden,Agricultural products,183.24808159,69.73340194
Afghanistan,Switzerland,Agricultural products,316.3438731,18.2401428
Afghanistan,Switzerland,Metals and minerals,0.114,0.085
Afghanistan,Switzerland,Pearls and gemstones,544.826,0.147
Afghanistan,Tajikistan,Agricultural products,2603.826,3897.783
Afghanistan,Thailand,Agricultural products,65.241,108.0
Afghanistan,Thailand,Fossil fuels,0.158,0.023
Afghanistan,Thailand,Pearls and gemstones,310.803,366.65
Afghanistan,United Arab Emirates,Agricultural products,21955.11714567,16577.65261949
Afghanistan,United Arab Emirates,Forestry products,26.365,44.04
Afghanistan,United Arab Emirates,Fossil fuels,0.678,0.134
Afghanistan,United Arab Emirates,Metals and minerals,93913.548,2.54
Afghanistan,United Arab Emirates,Pearls and gemstones,6746.204,0.105
Afghanistan,Turkey,Agricultural products,28642.33133,25352.6642101
Afghanistan,Turkey,Metals and minerals,1158.655667,7235.7228136
Afghanistan,Turkmenistan,Agricultural products,378.952,535.512
Afghanistan,Uganda,Agricultural products,34.776,50.0
Afghanistan,Ukraine,Agricultural products,363.925737,542.44145
Afghanistan,Ukraine,Metals and minerals,5.948,45.22
Afghanistan,Egypt,Agricultural products,345.888,77.982
Afghanistan,United Kingdom,Agricultural products,1956.336,448.533
Afghanistan,United Kingdom,Pearls and gemstones,9.565,0.011
Afghanistan,United States of America,Agricultural products,3875.7124879,2521.18698182
Afghanistan,United States of America,Pearls and gemstones,4599.328,0.443
Afghanistan,Uzbekistan,Agricultural products,2878.015,6111.36
Afghanistan,Uzbekistan,Metals and minerals,42.856,934.45
Afghanistan,Yemen,Agricultural products,52.83,48.0
Albania,Angola,Agricultural products,1.394,1.368
Albania,Angola,Fossil fuels,0.012,0.001
Albania,Argentina,Agricultural products,1.683,0.458
Albania,Argentina,Metals and minerals,49.672,19.0
Albania,Australia,Agricultural products,208.521,44.494
Albania,Australia,Fertilizers,8017.36,28417.156
Albania,Australia,Metals and minerals,989.905,594.51
Albania,Austria,Agricultural products,2740.4845543,2377.8723997
Albania,Austria,Forestry products,99.287,358.884
Albania,Austria,Fossil fuels,0.211,0.009
Albania,Austria,Metals and minerals,10837.75455,6283.55501
Albania,Bahrain,Agricultural products,1.314,0.235
Albania,Bahrain,Forestry products,35.085,132.15
Albania,Bahrain,Metals and minerals,20.401,9.985
Albania,Armenia,Agricultural products,0.18,0.04
Albania,Barbados,Agricultural products,1.266,0.143
Albania,Belgium,Agricultural products,65.6,39.443
