node_A,node_B,time_days,city_sex_worker,score,sex_type_A,sex_type_B,sex_type_C
86463,61109,733917,88,1,0,0,1
98670,145413,733917,2,1,1,0,1
87583,184720,733917,56,1,1,1,1
94272,167992,733917,180,1,1,1,1
96885,182774,733917,143,1,1,1,1
98259,183656,733917,253,1,1,1,1
99740,184846,733917,268,0,-1,-1,-1
99479,7207,733917,143,0,1,1,1
97374,10580,733917,253,1,0,1,1
99700,184764,733917,94,1,1,0,1
127095,144342,733917,94,1,1,1,0
94591,139189,733917,88,1,1,1,1
99802,125274,733917,107,1,0,1,1
91751,16092,733917,88,1,1,1,1
85693,7982,733917,143,1,0,1,0
99817,184846,733917,268,1,0,-1,1
97197,184748,733917,180,1,-1,-1,-1
94290,181737,733917,88,1,1,0,1
65412,119778,733917,68,1,-1,1,1
99797,155448,733917,268,1,-1,0,1
99785,155448,733917,268,1,-1,-1,1
98320,35595,733917,2,-1,0,0,-1
99590,132649,733917,88,1,1,1,1
76254,167992,733917,2,1,1,-1,1
99157,159451,733917,259,1,0,0,1
96066,80500,733917,88,1,1,1,1
43037,7207,733917,143,-1,1,-1,1
99758,184846,733917,268,1,0,-1,1
99799,161259,733917,68,1,0,1,1
99789,5651,733917,88,-1,-1,1,-1
99521,7515,733917,180,1,1,-1,1
93263,179178,733918,68,1,1,1,1
99645,68385,733918,2,1,1,1,1
93564,27790,733918,143,1,1,1,1
99843,118963,733918,94,0,1,0,1
99036,172163,733918,81,1,1,1,1
98747,176268,733918,2,1,1,0,1
94313,101362,733918,2,1,0,1,1
55515,68567,733918,173,1,0,-1,1
97372,121977,733918,180,1,-1,-1,1
96066,123934,733918,88,1,1,1,1
98259,144475,733918,253,1,0,1,1
99645,70466,733918,2,1,1,1,1
96066,55567,733918,88,1,1,1,1
99843,118963,733918,94,-1,0,0,0
96939,183378,733918,143,1,0,1,1
96810,146469,733918,2,1,1,0,1
97372,178421,733918,180,-1,-1,-1,-1
88427,57160,733918,88,1,1,1,1
87695,184830,733918,173,-1,1,-1,0
85497,65422,733918,94,1,0,1,1
92666,183578,733918,2,-1,0,0,0
92093,60851,733918,2,1,1,1,1
99836,73878,733918,2,1,1,1,1
91968,147957,733918,143,-1,1,1,1
91365,174543,733918,180,-1,0,0,0
97498,181828,733918,143,1,1,1,1
99847,152269,733918,268,-1,0,-1,-1
99879,148190,733919,94,1,1,1,1
99862,115695,733919,107,1,0,0,1
99525,144698,733919,259,1,1,-1,1
99692,139153,733919,56,1,-1,-1,1
99874,42219,733919,107,-1,1,1,-1
97215,33035,733919,2,1,1,-1,1
93904,153942,733919,88,0,1,0,1
89984,172347,733919,68,1,1,0,-1
93841,185034,733919,2,1,1,0,1
65412,158831,733919,68,1,1,1,1
99864,155620,733919,143,1,0,1,1
99103,104073,733919,107,1,0,-1,1
80401,184235,733919,143,1,1,-1,1
99636,30092,733919,68,1,1,1,1
99883,145485,733919,2,1,0,1,1
99469,170891,733919,2,-1,1,-1,-1
43037,147808,733919,143,-1,0,-1,-1
99866,126940,733919,180,0,-1,-1,-1
82784,20088,733919,2,1,1,0,1
99645,133499,733919,2,1,1,1,1
97383,30486,733919,180,1,1,0,1
99876,42219,733919,107,1,0,-1,1
98844,183379,733919,173,1,0,-1,1
99702,51067,733919,2,1,1,-1,1
93214,129316,733919,134,-1,0,0,0
93158,70672,733919,94,1,0,0,0
99860,18561,733919,88,-1,1,0,1
98778,5747,733919,2,1,1,1,1
83811,158831,733919,68,-1,0,0,0
77155,133255,733919,171,-1,0,0,0
94957,20313,733919,2,1,1,1,1
99893,130518,733919,271,-1,0,0,1
99865,126940,733919,180,1,0,0,0
90613,173354,733919,268,1,1,1,1
99887,144698,733919,259,1,1,0,0
99072,79304,733919,143,1,0,1,1
98069,182774,733919,143,1,1,0,1
99900,40398,733920,68,-1,0,1,0
84138,72402,733920,94,0,1,1,1
99928,148729,733920,253,-1,1,0,-1
95379,97129,733920,2,-1,0,0,1
98069,155276,733920,143,-1,0,0,0
57022,86404,733920,107,1,-1,0,1
93480,156653,733920,259,1,0,1,1
104388,145260,733920,81,1,1,0,1
99382,144475,733920,253,1,1,1,1
95183,27211,733920,143,1,1,1,1
98548,147667,733920,81,1,1,1,1
99930,24395,733920,81,-1,0,0,0
96954,101415,733920,2,1,0,0,0
99923,153694,733920,143,-1,0,1,1
95076,182290,733920,68,1,1,1,1
77130,126707,733920,2,1,1,1,1
98217,166758,733920,94,1,1,1,1
64631,66172,733920,228,0,1,1,-1
82852,21961,733920,56,-1,-1,-1,0
99911,135203,733920,228,1,0,0,1
98156,6863,733920,2,1,1,-1,1
98686,118686,733920,2,1,1,0,1
77281,176312,733920,259,1,1,-1,1
92514,55677,733920,2,-1,1,1,-1
99156,185179,733920,268,1,0,-1,1
99929,5985,733920,2,1,1,1,1
99920,111950,733920,2,1,1,1,1
64999,66172,733920,228,1,-1,-1,1
99903,32148,733920,171,1,1,1,1
97757,183247,733921,2,1,1,0,1
99944,165157,733921,94,1,1,-1,1
99702,174009,733921,2,1,0,0,1
99195,185227,733921,2,1,0,1,1
96182,67742,733921,134,1,1,0,1
95947,88020,733921,94,1,1,-1,-1
107554,27698,733921,81,1,1,0,1
95829,179040,733921,2,1,0,0,1
99941,179655,733921,94,1,1,0,1
89335,85876,733921,81,1,1,1,1
98299,92647,733921,2,1,1,1,1
85497,130984,733921,94,1,-1,0,1
99940,158409,733921,2,-1,0,0,0
99949,60851,733921,2,0,1,-1,-1
99773,27698,733921,81,1,1,1,1
99165,166364,733921,2,1,1,-1,-1
90914,180846,733921,2,-1,0,1,1
99935,3603,733921,88,0,-1,1,1
91882,118110,733921,94,1,1,1,1
99954,71363,733921,68,-1,0,1,0
86929,67742,733921,134,1,1,0,1
99436,37746,733921,68,1,0,-1,1
83492,136924,733921,88,1,1,1,1
98044,185262,733922,143,-1,1,0,1
78806,69914,733922,2,1,1,-1,1
94529,137651,733922,171,1,1,0,0
99970,183674,733922,88,1,1,-1,1
99973,7151,733922,81,1,1,1,1
97842,134526,733922,143,1,1,0,1
94591,114050,733922,88,1,1,1,1
90954,167923,733922,2,1,1,1,1
51308,127422,733922,56,1,0,0,0
94858,142436,733922,2,1,1,-1,1
89381,134297,733922,269,1,0,0,1
118204,152666,733922,81,1,0,-1,1
99967,129795,733922,2,0,0,-1,1
99966,6572,733922,2,1,0,0,1
99977,98746,733922,88,1,1,0,1
99968,67544,733922,143,1,0,-1,1
99940,2948,733923,2,1,1,-1,1
92145,183768,733923,88,-1,0,0,0
80244,101362,733923,2,1,1,0,1
97787,109923,733923,2,1,1,1,1
94583,144871,733923,259,1,1,1,1
92786,168093,733923,56,1,1,0,1
96854,175431,733923,2,-1,1,0,0
97574,145831,733923,2,1,1,1,1
95444,101415,733923,88,1,1,1,1
95379,180673,733923,2,1,1,1,1
92093,105952,733923,2,1,1,1,1
99998,61458,733923,2,1,0,0,1
99989,185352,733923,2,1,1,-1,1
99220,169190,733923,134,1,1,0,-1
99862,42594,733923,107,1,1,-1,1
100043,143783,733923,68,1,0,0,0
97650,99767,733923,2,1,1,1,1
99864,155620,733923,143,-1,0,0,0
96885,158399,733923,143,1,1,1,1
98747,162624,733923,2,1,1,0,1
95322,172341,733923,259,1,0,-1,1
85623,80500,733923,88,1,1,1,1
88427,101415,733923,88,1,1,1,1
99692,21054,733924,56,-1,-1,-1,-1
100039,51067,733924,2,0,1,0,-1
81145,105451,733924,2,1,1,-1,1
99695,150106,733924,56,-1,0,0,-1
100016,99797,733924,143,-1,0,-1,-1
100038,167398,733924,2,1,0,0,1
100058,158831,733924,68,1,1,-1,1
71381,55195,733924,56,1,1,1,1
100048,6272,733924,68,1,0,1,1
100014,6863,733924,2,1,1,-1,1
100051,171101,733924,107,1,0,1,1
100002,27729,733924,143,1,0,0,1
100053,171101,733924,107,-1,0,-1,1
99967,7532,733924,2,-1,1,-1,1
99883,73740,733924,2,1,1,1,1
95627,21148,733924,68,1,-1,-1,-1
87227,119526,733924,2,1,0,1,1
93158,166758,733924,94,1,1,0,1
100057,185534,733924,81,0,1,0,1
100047,59901,733924,2,1,1,-1,1
100021,163328,733924,269,0,1,0,0
76430,144962,733924,259,1,0,-1,1
79448,125053,733924,259,0,1,0,1
57167,185422,733924,56,1,1,1,0
68586,104125,733924,2,1,0,0,1
93263,185537,733924,68,-1,0,0,0
114180,139394,733924,81,-1,1,-1,1
88427,166384,733924,88,1,1,1,1
94593,120231,733924,143,1,1,1,1
97733,185504,733924,2,1,1,1,1
79806,158026,733925,68,1,0,0,1
96506,49629,733925,81,-1,1,1,1
75669,183703,733925,68,1,1,1,-1
95690,9748,733925,143,1,1,1,1
100097,145485,733925,2,1,1,0,1
75251,88263,733925,143,1,1,1,1
100085,185034,733925,2,1,1,0,1
94957,14930,733925,2,1,1,0,1
92666,5678,733925,2,-1,0,-1,-1
99185,161867,733925,2,1,1,-1,1
82545,156350,733925,88,-1,0,0,0
100118,182507,733925,88,0,1,0,1
5430,179655,733925,143,0,1,0,1
92666,168551,733925,2,0,1,0,1
99382,84994,733925,253,1,1,1,1
93841,185034,733925,2,1,1,0,1
71940,481,733925,94,1,1,1,1
100091,84694,733925,88,-1,1,1,1
93095,91641,733925,2,1,1,-1,1
99876,97018,733925,107,1,0,0,1
100002,51201,733925,143,1,1,1,1
99172,165442,733925,134,1,-1,0,1
99469,185546,733925,2,1,1,1,1
94593,123039,733925,143,1,0,1,1
79669,34904,733925,180,1,1,0,1
99165,108870,733925,2,1,1,-1,-1
77241,185564,733925,180,1,-1,-1,-1
100058,128323,733925,68,0,1,0,0
64107,30654,733925,2,1,1,1,1
98921,10443,733925,2,1,1,1,1
99590,166384,733925,88,1,1,1,0
91229,21148,733925,68,1,-1,0,1
98800,176629,733925,180,1,-1,1,1
100070,185586,733925,56,0,0,1,1
100110,10941,733926,68,1,0,-1,-1
99636,158831,733926,68,0,1,1,1
99331,134736,733926,180,1,0,1,1
98484,67263,733926,81,0,1,-1,1
93429,185586,733926,56,1,0,1,1
98299,51667,733926,2,1,1,0,1
91197,67263,733926,81,0,1,-1,1
98199,131185,733926,2,-1,-1,-1,-1
57560,185684,733926,2,-1,-1,-1,1
99864,178079,733926,143,1,1,1,1
97244,180873,733926,81,0,1,0,1
90010,86426,733926,269,1,-1,0,1
94537,144871,733926,259,1,1,1,1
77241,185665,733926,180,1,-1,-1,-1
76103,27211,733926,143,1,1,-1,1
100120,20811,733926,268,1,-1,0,1
42438,121787,733926,81,0,1,0,1
77241,185663,733926,180,1,-1,-1,-1
51666,84266,733926,253,0,1,0,0
100105,181751,733926,2,1,1,1,1
100102,103466,733926,2,1,1,1,1
93589,161079,733926,259,1,1,1,1
99700,116154,733926,94,1,1,-1,1
90701,143061,733926,88,1,1,0,1
87781,179157,733926,68,1,1,0,1
96517,156285,733926,107,1,0,1,1
98778,169987,733926,2,0,1,0,1
99676,175431,733927,2,1,1,0,1
98299,67458,733927,2,0,1,0,1
99405,164229,733927,268,1,1,1,0
99636,2531,733927,68,1,1,1,1
87227,7340,733927,2,1,1,1,1
99935,163045,733927,88,1,1,0,1
97260,67384,733927,268,1,1,1,0
98879,185534,733927,81,1,1,0,1
100140,164229,733927,268,1,0,1,-1
13873,160309,733927,94,-1,0,0,0
100125,183334,733927,143,1,0,1,1
98325,123173,733927,81,1,0,1,1
90329,185811,733927,259,-1,1,1,-1
100002,88263,733927,143,1,1,1,1
95379,185766,733927,2,1,0,1,1
95379,185821,733927,2,1,1,0,1
89984,49785,733927,68,1,0,-1,-1
100126,164596,733927,173,-1,0,0,1
84103,160309,733927,94,1,1,0,-1
94247,185641,733927,56,1,0,1,1
78748,156288,733927,81,0,-1,0,-1
90795,182224,733927,56,1,1,1,0
94842,19667,733927,2,1,1,1,1
96907,26282,733927,2,1,1,1,1
100123,104125,733927,2,-1,-1,0,-1
83043,5611,733927,138,1,1,1,1
75768,40398,733927,68,1,1,-1,1
97738,111396,733928,107,1,1,0,1
90290,84389,733928,2,1,1,1,1
41230,22694,733928,2,0,1,1,1
100149,185865,733928,2,1,1,0,1
100163,22524,733928,143,1,0,1,1
100157,30044,733928,138,1,1,1,1
98800,158356,733928,180,1,1,1,1
78551,166384,733928,88,0,1,-1,1
95379,185792,733928,2,1,1,1,0
99334,173260,733928,88,1,1,1,1
99264,142045,733928,253,0,0,1,-1
96182,185525,733928,134,1,-1,-1,1
96831,144398,733928,68,1,1,1,1
57060,27256,733928,2,1,0,1,1
96066,114050,733928,88,1,1,1,1
97842,67544,733928,143,1,0,0,1
100070,185846,733928,56,-1,0,0,1
94235,58113,733928,94,-1,0,-1,0
99103,158831,733928,107,1,1,-1,1
21663,165148,733928,68,1,-1,1,-1
87504,70429,733928,68,1,-1,0,1
91229,144398,733928,68,1,-1,0,1
107291,67361,733928,56,1,0,1,1
99469,150084,733929,2,-1,1,0,-1
100180,182720,733929,2,1,1,1,-1
100183,78450,733929,2,1,1,0,1
98778,13624,733929,2,1,1,1,1
78806,174900,733929,2,0,1,-1,-1
94069,112341,733929,138,1,1,1,1
87504,71363,733929,68,1,-1,1,1
98349,185793,733929,173,1,1,0,1
129518,21740,733929,2,1,1,0,1
97131,63638,733929,2,0,-1,-1,1
97103,48744,733929,253,1,1,1,1
82852,185586,733929,56,-1,-1,-1,0
100182,71142,733929,2,1,-1,1,1
90943,185949,733929,56,0,1,0,1
100185,154511,733929,107,1,0,-1,1
96010,159361,733929,94,1,1,1,1
